,custom_key,rider_bike_curr_elo,rider_bike_new_elo,rider_track_curr_elo,rider_track_new_elo,track_rider_bike_curr_elo,track_rider_bike_new_elo,track_bike_curr_elo,track_bike_new_elo,season,race_num,track,rider,pos,simple_avg_curr_elo,rider_bike_curr_elo**2,curr_elo_rank,error_diff
25,2013.2.cota.Dani PEDROSA.2,1031.9903642140864,1088.051377482705,999.0,1057.248416188235,1001.0,1059.1217754069435,1001.0,1059.162070200991,2013,2,cota,Dani PEDROSA,2,1008.2475910535215,,4,2
26,2013.2.cota.Jorge LORENZO.3,1075.6618541670912,1115.012385588012,1001.0,1045.3268636418545,1001.0,1045.3383764401538,999.0,1043.516824813792,2013,2,cota,Jorge LORENZO,3,1019.1654635417729,,1,2
27,2013.2.cota.Cal CRUTCHLOW.4,1022.4185593760379,1053.863469174331,1001.0,1033.8406978361963,999.0,1031.9903642140864,999.0,1032.0306590081339,2013,2,cota,Cal CRUTCHLOW,4,1005.3546398440095,,5,1
28,2013.2.cota.Stefan BRADL.5,977.1481289620463,1002.1256443178229,1001.0,1024.2688929981477,999.0,1022.4185593760379,1001.0,1024.3207005904944,2013,2,cota,Stefan BRADL,5,994.5370322405115,,24,19
29,2013.2.cota.Valentino ROSSI.6,1057.2599289865343,1068.7957027038624,999.0,1014.4305425460316,999.0,1014.4420553443309,999.0,1014.4823501383783,2013,2,cota,Valentino ROSSI,6,1013.5649822466336,,2,4
30,2013.2.cota.Andrea DOVIZIOSO.7,1009.6568150716507,1017.7808690024823,999.0,1007.7834558529424,1001.0,1009.6568150716507,999.0,1007.835263445289,2013,2,cota,Andrea DOVIZIOSO,7,1002.1642037679127,,7,0
31,2013.2.cota.Alvaro BAUTISTA.8,1014.4420553443309,1016.6986272092109,999.0,1002.2442169420348,1001.0,1004.117576160743,1001.0,1004.1578709547904,2013,2,cota,Alvaro BAUTISTA,8,1003.8605138360828,,6,2
32,2013.2.cota.Nicky HAYDEN.9,1002.255729740334,1000.7326060863651,999.0,997.6281845162783,999.0,997.6396973145776,999.0,997.6799921086249,2013,2,cota,Nicky HAYDEN,9,999.8139324350835,,8,1
33,2013.2.cota.Andrea IANNONE.10,997.6396973145776,992.5868593540569,999.0,993.781490828148,999.0,993.7930036264472,1001.0,995.6951448409037,2013,2,cota,Andrea IANNONE,10,999.1599243286444,,10,0
34,2013.2.cota.Aleix ESPARGARO.11,992.4492719734144,984.5471914319264,1001.0,992.4377591751152,1001.0,992.4492719734144,1001.0,992.4895667674617,2013,2,cota,Aleix ESPARGARO,11,998.8623179933536,,12,1
35,2013.2.cota.Bradley SMITH.12,978.5785430864136,968.9557914955861,999.0,987.9045976935045,999.0,987.9161104918037,999.0,987.956405285851,2013,2,cota,Bradley SMITH,12,993.8946357716034,,21,9
36,2013.2.cota.Ben SPIES.13,993.7930036264472,980.9012786316929,999.0,985.6785018091697,999.0,985.6900146074689,1001.0,987.5921558219254,2013,2,cota,Ben SPIES,13,998.1982509066117,,11,2
37,2013.2.cota.Randy DE PUNIET.14,987.9161104918037,973.5725588095603,999.0,983.8234219055574,999.0,983.8349347038568,1001.0,985.7370759183132,2013,2,cota,Randy DE PUNIET,14,996.729027622951,,13,1
